:START_ID(Sport-ID),:END_ID(Venue-ID),:TYPE
ARC,INV,USE_VENUE
ATH,INV,USE_VENUE
ATH,STA,USE_VENUE
ATH,TRO,USE_VENUE
BDM,CPL,USE_VENUE
BK3,LC1,USE_VENUE
BKB,BCY,USE_VENUE
BKB,LIL,USE_VENUE
BKG,LC1,USE_VENUE
BMF,LC2,USE_VENUE
BMX,VE2,USE_VENUE
BOX,NPA,USE_VENUE
BOX,RGA,USE_VENUE
CER,anon-0,USE_VENUE
CER,anon-1,USE_VENUE
CLB,LBO,USE_VENUE
CRD,ALX,USE_VENUE
CRD,TRO,USE_VENUE
CSL,VN2,USE_VENUE
CSP,VN1,USE_VENUE
CTR,VE1,USE_VENUE
DIV,AQC,USE_VENUE
EQU,VER,USE_VENUE
FBL,BOR,USE_VENUE
FBL,LYO,USE_VENUE
FBL,MRS,USE_VENUE
FBL,NAN,USE_VENUE
FBL,NIC,USE_VENUE
FBL,PDP,USE_VENUE
FBL,STE,USE_VENUE
FEN,GRP,USE_VENUE
GAR,BCY,USE_VENUE
GLF,LGN,USE_VENUE
GRY,CPL,USE_VENUE
GTR,BCY,USE_VENUE
HBL,LIL,USE_VENUE
HBL,SP6,USE_VENUE
HOC,YDM,USE_VENUE
JUD,CDM,USE_VENUE
MPN,NPA,USE_VENUE
MPN,VER,USE_VENUE
MTB,ELA,USE_VENUE
OWS,ALX,USE_VENUE
ROW,VN1,USE_VENUE
RU7,STA,USE_VENUE
SAL,MAM,USE_VENUE
SHO,CTX,USE_VENUE
SKB,LC3,USE_VENUE
SKB,LC4,USE_VENUE
SRF,TAH,USE_VENUE
SWA,AQC,USE_VENUE
SWM,DEF,USE_VENUE
TEN,RGA,USE_VENUE
TKW,GRP,USE_VENUE
TRI,ALX,USE_VENUE
TTE,SP4,USE_VENUE
VBV,EIF,USE_VENUE
VVO,SP1,USE_VENUE
WLF,SP6,USE_VENUE
WPO,AQC,USE_VENUE
WPO,DEF,USE_VENUE
WRE,CDM,USE_VENUE
